MAIL,FREIGHT,PASSENGERS,DISTANCE_GROUP,DISTANCE,DEST_AIRPORT_ID,DEST_CITY_NAME,DEST,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,ORIGIN,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER,MONTH,QUARTER,YEAR
0.0,0.0,0.0,1,24.0,12266,"Houston, TX",IAH,12191,"Houston, TX",HOU,Mesa Airlines Inc.,YV,1,1,2025
0.0,0.0,0.0,1,141.0,12094,"Hayden, CO",HDN,11292,"Denver, CO",DEN,Mesa Airlines Inc.,YV,1,1,2025
0.0,0.0,0.0,1,152.0,12012,"Gunnison, CO",GUC,11292,"Denver, CO",DEN,Mesa Airlines Inc.,YV,1,1,2025
0.0,0.0,0.0,1,156.0,12278,"Wichita, KS",ICT,13851,"Oklahoma City, OK",OKC,Mesa Airlines Inc.,YV,1,1,2025
0.0,0.0,0.0,1,167.0,10423,"Austin, TX",AUS,11140,"Corpus Christi, TX",CRP,Mesa Airlines Inc.,YV,1,1,2025
0.0,0.0,0.0,1,0.0,10821,"Baltimore, MD",BWI,10821,"Baltimore, MD",BWI,Atlas Air Inc.,5Y,1,1,2025
0.0,0.0,0.0,1,0.0,11375,"Dover, DE",DOV,11375,"Dover, DE",DOV,Atlas Air Inc.,5Y,1,1,2025
0.0,0.0,0.0,1,0.0,11433,"Detroit, MI",DTW,11433,"Detroit, MI",DTW,Atlas Air Inc.,5Y,1,1,2025
0.0,0.0,0.0,1,0.0,12892,"Los Angeles, CA",LAX,12892,"Los Angeles, CA",LAX,Atlas Air Inc.,5Y,1,1,2025
0.0,0.0,0.0,1,0.0,13360,"Melbourne, FL",MLB,13360,"Melbourne, FL",MLB,Atlas Air Inc.,5Y,1,1,2025
0.0,0.0,0.0,1,0.0,10299,"Anchorage, AK",ANC,10299,"Anchorage, AK",ANC,Ryan Air f/k/a Arctic Transportation,7S,1,1,2025
0.0,0.0,0.0,1,0.0,11540,"El Paso, TX",ELP,11540,"El Paso, TX",ELP,Ameristar Air Cargo,AMQ,1,1,2025
0.0,0.0,0.0,1,0.0,10140,"Albuquerque, NM",ABQ,10140,"Albuquerque, NM",ABQ,"ADVANCED AIR, LLC",AN,1,1,2025
0.0,0.0,0.0,1,0.0,12266,"Houston, TX",IAH,12266,"Houston, TX",IAH,CommuteAir LLC dba CommuteAir,C5,1,1,2025
0.0,0.0,0.0,1,0.0,13029,"Lincoln, NE",LNK,13029,"Lincoln, NE",LNK,CommuteAir LLC dba CommuteAir,C5,1,1,2025
0.0,0.0,0.0,1,0.0,10304,"Aniak, AK",ANI,10304,"Aniak, AK",ANI,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",K2,1,1,2025
0.0,0.0,0.0,1,0.0,12807,"St. Mary's, AK",KSM,12807,"St. Mary's, AK",KSM,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",K2,1,1,2025
0.0,0.0,0.0,1,0.0,11697,"Fort Lauderdale, FL",FLL,11697,"Fort Lauderdale, FL",FLL,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,1,1,2025
0.0,0.0,0.0,1,0.0,13182,"Manistee/Ludington, MI",MBL,13182,"Manistee/Ludington, MI",MBL,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,1,1,2025
0.0,0.0,0.0,1,0.0,13898,"Miami, FL",OPF,13898,"Miami, FL",OPF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,1,1,2025
0.0,0.0,0.0,1,0.0,11193,"Cincinnati, OH",CVG,11193,"Cincinnati, OH",CVG,Polar Air Cargo Airways,PO,1,1,2025
0.0,0.0,0.0,1,0.0,10194,"Dallas/Fort Worth, TX",AFW,10194,"Dallas/Fort Worth, TX",AFW,Omni Air International LLC,X9,1,1,2025
0.0,0.0,0.0,1,0.0,14747,"Seattle, WA",SEA,14747,"Seattle, WA",SEA,Omni Air International LLC,X9,1,1,2025
0.0,0.0,0.0,1,0.0,10529,"Hartford, CT",BDL,10529,"Hartford, CT",BDL,TEM Enterprises dba  Avelo Airlines,XP,1,1,2025
0.0,0.0,0.0,1,3.0,11540,"El Paso, TX",ELP,10615,"El Paso, TX",BIF,National Air Cargo Group Inc d/ba National Airlines,N8,1,1,2025
0.0,0.0,0.0,1,8.0,14477,"Roche Harbor, WA",RCE,11762,"Friday Harbor, WA",FRD,Kenmore Air Harbor,KAH,1,1,2025
0.0,0.0,0.0,1,9.0,15346,"New York, NY",TSS,15167,"Teterboro, NJ",TEB,"Jet Aviation Flight Services, Inc.",27Q,1,1,2025
0.0,0.0,0.0,1,9.0,13002,"Seattle, WA",LKE,12652,"Kenmore, WA",KEH,Kenmore Air Harbor,KAH,1,1,2025
0.0,0.0,0.0,1,9.0,12652,"Kenmore, WA",KEH,13002,"Seattle, WA",LKE,Kenmore Air Harbor,KAH,1,1,2025
0.0,0.0,0.0,1,11.0,12953,"New York, NY",LGA,12478,"New York, NY",JFK,Republic Airline,YX,1,1,2025
0.0,0.0,0.0,1,12.0,12574,"Nashville, TN",TN8,10693,"Nashville, TN",BNA,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,1,1,2025
0.0,0.0,0.0,1,12.0,13461,"Smyrna, TN",MQY,10693,"Nashville, TN",BNA,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,1,1,2025
0.0,0.0,0.0,1,12.0,10693,"Nashville, TN",BNA,13461,"Smyrna, TN",MQY,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,1,1,2025
